Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX5329172	1530293.0	1947737.0	4316063.0	22144.0	24555416.0	38100819.0
SRX5329173	1064961.0	286785.0	602771.0	3002.0	54399840.0	5176169.0
SRX5329174	136797.0	2675844.0	4259036.0	36439.0	14043764.0	50091984.0
SRX5329175	2691782.0	1601398.0	2388692.0	21858.0	28515402.0	30787698.0
SRX5329176	1782459.0	454528.0	888901.0	4884.0	55735798.0	8699820.0
SRX5329177	1093116.0	2370756.0	3866378.0	33273.0	14824370.0	42976271.0
SRX5329178	1668321.0	298490.0	779784.0	3406.0	48360956.0	6110855.0
SRX5329179	1640299.0	484874.0	829751.0	6539.0	50849520.0	9066243.0
SRX5329180	1830567.0	881173.0	1958877.0	10109.0	53018906.0	15980708.0
SRX5329181	2499577.0	1140451.0	6276273.0	15433.0	27494822.0	25916874.0
SRX5329182	485284.0	1827598.0	3970922.0	22242.0	12699108.0	36050094.0
SRX5329183	2076524.0	1669257.0	6397536.0	21496.0	29828770.0	36199175.0
SRX5329184	3225853.0	1111444.0	1778426.0	14176.0	53827174.0	21196701.0
SRX5329185	1060454.0	129306.0	614717.0	1775.0	40387700.0	2812914.0
SRX5329186	622252.0	54387.0	302289.0	886.0	45720048.0	1279518.0
SRX5329187	1272084.0	1116022.0	2529816.0	11408.0	29232252.0	20040704.0
SRX5329188	2906753.0	983175.0	2076681.0	11315.0	40995206.0	19188484.0
SRX5329189	4009898.0	303338.0	1935873.0	4611.0	47494178.0	7516850.0
SRX5329190	2077601.0	255447.0	1225772.0	3702.0	64267806.0	5770112.0
SRX5329191	1862541.0	386323.0	944646.0	4371.0	63923986.0	7635415.0
SRX5329192	2831699.0	576760.0	1497566.0	6258.0	51067226.0	10822695.0
SRX5329193	1766714.0	1067404.0	1959202.0	11904.0	44597022.0	20996874.0
SRX5329194	2212341.0	884814.0	1399179.0	12188.0	51959752.0	16337026.0
SRX6700162	364072.0	3663591.0	4272922.0	39070.0	13678674.0	52184599.0
SRX6700163	135416.0	3590346.0	4851903.0	39908.0	10499632.0	48756491.0
SRX6700164	652374.0	4143440.0	4944050.0	41934.0	14901300.0	58112740.0
SRX6700165	155234.0	3829965.0	7105467.0	41853.0	15713944.0	57730023.0
SRX6700166	618138.0	3314929.0	4943946.0	29933.0	15583154.0	48477080.0
SRX6700168	336073.0	3517904.0	5160083.0	35630.0	17277220.0	53108238.0
SRX6700169	641917.0	2976123.0	4491511.0	28761.0	15928708.0	46105542.0
SRX6700170	268754.0	3483178.0	5677496.0	35798.0	17806616.0	54692068.0
SRX6700171	739033.0	2493842.0	10731845.0	38353.0	22923484.0	51603529.0
SRX6700172	346154.0	2465973.0	9759519.0	37440.0	21330950.0	46392352.0
SRX6700173	567478.0	2021417.0	9159050.0	29918.0	19162180.0	39013031.0
SRX6700174	710017.0	4308291.0	5035834.0	47202.0	13957030.0	57747666.0
SRX6700175	521631.0	3681637.0	4146769.0	39756.0	13379984.0	51140955.0
SRX6700176	232652.0	4706182.0	5267055.0	46682.0	14836428.0	57255439.0
SRX6700177	158649.0	2917680.0	3767556.0	26593.0	11553726.0	40026646.0
SRX6700178	174641.0	2744072.0	3247839.0	27153.0	12039322.0	40154049.0
SRX6700179	5601878.0	3091128.0	3787494.0	27700.0	22196876.0	45809060.0
SRX6700180	11428987.0	2740964.0	3716932.0	25769.0	33165352.0	44906058.0
SRX6700181	319040.0	2965205.0	3949124.0	27376.0	14373718.0	45833931.0
SRX6700182	8288847.0	2764601.0	3993475.0	25018.0	25916474.0	46756099.0
SRX6700183	671978.0	1545262.0	8480834.0	25778.0	15676516.0	33800418.0
SRX6700184	1905874.0	2149678.0	9724872.0	33471.0	22333012.0	43854935.0
SRX6700185	1379494.0	1906317.0	9761484.0	33312.0	20066944.0	44011663.0
SRX6922015	8109.0	781153.0	901327.0	11147.0	6218892.0	10984520.0
SRX6922016	4028.0	446228.0	443513.0	6716.0	3807690.0	6924001.0
SRX6922017	4920.0	893286.0	973349.0	13541.0	6535748.0	13025066.0
SRX6922018	5386.0	686265.0	766677.0	10250.0	4795218.0	9928194.0
SRX6922019	6610.0	1102556.0	1278526.0	6383.0	10455174.0	16126245.0
SRX6922020	4789.0	661059.0	845324.0	4323.0	6768886.0	9434133.0
SRX6922021	6839.0	823323.0	1044162.0	5634.0	8278956.0	11751830.0
SRX6922023	6257.0	740726.0	790736.0	11569.0	5103038.0	11095144.0
SRX6922024	8026.0	838237.0	926741.0	12169.0	5329480.0	12019051.0
SRX6922025	8073.0	830338.0	912223.0	12106.0	5434356.0	11628328.0
SRX6922026	11429.0	996067.0	1146179.0	16195.0	7405560.0	14279106.0
SRX6922027	10156.0	989198.0	1159258.0	16543.0	7366102.0	14393437.0
SRX6922028	6430.0	834383.0	933924.0	13350.0	6132998.0	11986053.0
SRX6922029	9428.0	809226.0	903539.0	11720.0	5562602.0	11548679.0
SRX7101023	2457427.0	3298921.0	3712837.0	45937.0	14472706.0	52639174.0
SRX7101024	740800.0	3279375.0	3788189.0	45638.0	10226780.0	52224154.0
SRX7101025	901182.0	3352267.0	3819639.0	46586.0	10850696.0	53252398.0
SRX7101026	996347.0	2660790.0	3826258.0	24696.0	9275310.0	46950643.0
SRX7101027	908164.0	2934347.0	4957603.0	26649.0	10301462.0	52618439.0
SRX7101028	618458.0	2950412.0	5239152.0	28950.0	10929120.0	56687452.0
SRX7101029	384620.0	3568864.0	4765906.0	48010.0	13933516.0	58954986.0
SRX7101030	360753.0	3184444.0	3906357.0	38831.0	12694846.0	52151891.0
SRX7101031	389201.0	3075270.0	3930752.0	38806.0	12506144.0	49943723.0
SRX7101032	562426.0	3127005.0	7192365.0	25133.0	13819648.0	51700585.0
SRX7101033	321305.0	3538474.0	5402264.0	24286.0	12777508.0	53530591.0
SRX7101034	2335828.0	3501578.0	5586282.0	25136.0	14951508.0	53826752.0
SRX7101035	540106.0	2292230.0	9748793.0	17780.0	22890832.0	32797369.0
SRX7101036	561071.0	1982529.0	33088703.0	24650.0	15742573.0	27750160.0
SRX7101037	82854.0	1618968.0	28603384.0	22453.0	16248168.0	24710403.0
SRX7101038	173518.0	2013879.0	34224602.0	26946.0	14141944.0	29229613.0
SRX7101039	193247.0	1912168.0	34279110.0	18588.0	14931815.0	29578800.0
SRX7101040	205012.0	2043957.0	36084128.0	20347.0	13687642.0	30938653.0
SRX7101041	857895.0	1553257.0	28842923.0	15370.0	13879616.0	24469584.0
SRX7551986	7682.0	563237.0	732980.0	10399.0	3613416.0	8577378.0
SRX7551987	12743.0	553746.0	599122.0	10114.0	3504804.0	8154493.0
SRX7551988	62612.0	364774.0	457850.0	5887.0	2234594.0	5396285.0
SRX7551989	38472.0	500389.0	643873.0	8235.0	3113650.0	7279359.0
SRX7551990	30874.0	498254.0	692380.0	8644.0	3106252.0	7719546.0
SRX7551991	12163.0	465443.0	547365.0	7586.0	2807912.0	6697263.0
SRX8694706	34284.0	200635.0	328616.0	3030.0	2037978.0	5055347.0
SRX8694707	31659.0	227435.0	358974.0	3824.0	2354854.0	5804780.0
SRX8694708	54952.0	241770.0	375569.0	3785.0	2319912.0	5758866.0
