Sample	Undetermined	Sense	Antisense
SRX6922025	59.98	2.78	37.24
SRX6922026	59.9	2.9499999999999997	37.15
SRX6922027	60.22	2.9499999999999997	36.84
SRX6922028	60.11	3.0	36.89
SRX6922029	59.95	2.87	37.18
SRX7101023	58.43000000000001	2.21	39.36
SRX7101024	59.760000000000005	2.3	37.940000000000005
SRX7101025	59.64	2.37	37.99
SRX7101026	57.940000000000005	1.44	40.62
SRX7101027	56.42	1.29	42.29
SRX7101028	56.720000000000006	1.15	42.13
SRX7101029	60.589999999999996	2.2399999999999998	37.169999999999995
SRX7101030	60.29	2.1999999999999997	37.51
SRX7101031	60.07	2.26	37.669999999999995
SRX7101032	53.16	2.15	44.690000000000005
SRX7101033	55.769999999999996	1.92	42.309999999999995
SRX7101034	54.339999999999996	1.82	43.84
SRX7101035	49.27	5.79	44.940000000000005
SRX7101036	60.17	2.4699999999999998	37.36
SRX7101037	62.33	2.1	35.57
SRX7101038	61.38	2.26	36.36
SRX7101039	62.529999999999994	2.3800000000000003	35.089999999999996
SRX7101040	63.18	2.13	34.69
SRX7101041	61.18	2.04	36.79
SRX7551986	61.89	2.52	35.589999999999996
SRX7551987	62.45	2.37	35.18
SRX7551988	60.589999999999996	2.56	36.85
SRX7551989	60.419999999999995	2.8000000000000003	36.78
SRX7551990	59.81999999999999	2.59	37.6
SRX7551991	61.199999999999996	2.62	36.18
SRX8694706	58.76	2.04	39.21
SRX8694707	59.419999999999995	2.01	38.56
SRX8694708	59.35	2.11	38.54
SRX8694709	58.45	2.0	39.54
SRX8694710	60.97	1.8900000000000001	37.13
SRX8694711	59.48	1.92	38.6
SRX8694712	57.97	1.91	40.129999999999995
SRX8694713	59.730000000000004	1.73	38.54
SRX8694714	58.52	1.87	39.61
SRX8694715	57.64	2.1399999999999997	40.22
SRX8694716	58.550000000000004	1.9800000000000002	39.47
SRX8694717	59.0	2.1399999999999997	38.85
SRX8694718	57.11000000000001	1.8599999999999999	41.03
SRX8694719	56.63	1.94	41.43
SRX8694720	60.260000000000005	1.73	38.01
SRX8694721	60.57	2.0500000000000003	37.39
SRX8694722	60.4	2.02	37.580000000000005
SRX8694723	57.15	1.79	41.06
SRX8694724	56.89999999999999	1.92	41.18
SRX8694725	55.97	1.78	42.25
SRX8694726	55.11000000000001	1.6	43.29
SRX8694727	55.87	1.5599999999999998	42.58
