Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>50	>500	>10k+	>1k	>10	>5k	>100
SRX3316539										11.000326065664238	9.383608040995476	1.028909290230197	11.978173303251321	22.493025163250998	1.7807985614967468	25.463593149395425
SRX3316540										8.910967253521797	10.035680888555909	3.292940148722529	17.760074980227884	17.77499502821015	3.3629973456292888	22.671367033982122
SRX3316541										8.793255676166867	10.293361381045528	3.492039441112042	19.04637077102274	17.55823238978921	3.4739788175492734	22.575001963860178
SRX3316542										10.289096935639597	9.988229073736221	2.0085633303835784	14.60198382423965	20.942766406216577	2.5114772606360733	24.209902512745018
SRX3316543										9.882448477499594	10.846644172637825	1.6068420999456094	17.062729532946648	18.956160444411026	2.5792939831134922	24.65722591742476
SRX3316544										10.482188094898666	9.800811066925599	1.7732307201720552	12.962196425845468	21.566113800002668	1.6448774297901831	24.192266750814294
SRX3316545										11.341523620853772	9.162853516137499	1.5575793761019905	11.647128169230983	22.477824283791573	1.5339440085988307	25.747417794859683
SRX3316546										10.53062566100478	10.345005132393018	1.7436673087893417	14.908103786959318	20.345838208248196	2.348882315440783	24.925270286914095
SRX3316547										11.416861422816083	9.005530033503431	1.56345929992162	10.583071689811872	22.166858302092777	1.4331083288235256	26.433494701724907
SRX3316548										8.62648936020671	11.585405377884166	1.6246052013610104	17.98222741537823	17.364696667421015	3.1296140893886637	24.117449847513477
SRX3316549										10.089454455147665	10.196322716245163	1.3045442036127053	15.006854856719679	20.111744835568775	1.9986201930593022	25.47820891716235
SRX3316550										9.853657049223939	9.93464583055869	2.8718380027791373	15.991762799227338	19.664869447026927	2.5071695060131023	24.091428357070534
SRX3316551										10.314850974596867	9.087598562845272	3.3794019419767127	13.910307250247067	20.260951904126088	2.5721539532279825	24.268003569199692
SRX3316552										10.226366649040207	9.0947441583246	4.402868556382465	13.469042929337396	18.820787909918483	3.113160364878923	25.382709716285284
SRX3316553										11.387594831264607	8.909985984914798	1.9024453051019592	11.590703327912806	22.19896028472272	2.0976376278408972	25.70041070189281
SRX3316554										10.243029839426454	8.97986891885238	3.7598180995415444	13.691360909900135	18.833000803162896	3.38762189334297	24.914508735327782
SRX3316555										11.22350484026008	7.997379336445645	2.1289534736631666	9.692699249893513	22.801507348063865	1.8098504082617188	24.867235837267202
SRX3316556										9.195503891429402	9.934443886970712	2.7284905398408887	16.67894748613588	18.532642849385763	3.1259847742505507	22.834516096640016
SRX3316557										10.840558716491346	9.722091116800446	1.6962686669870637	13.515294690771318	21.334497521137177	1.984221248346869	24.920804624998702
SRX3316558										10.806553419405429	9.387018171938868	1.4634347981100722	9.723188873841327	22.30597133017842	1.0870802489493012	26.84929357055554
SRX3316559										11.576051721037253	9.213165119814095	1.0113299787013423	10.29293506379553	23.040905620594717	1.5135842611678532	26.77645303996724
SRX3316560										10.90285244532397	10.000077782925349	2.3857603369817375	13.105069306285866	19.528060005827864	2.2117482705195726	27.342263667591105
SRX3316561										12.175521359082087	8.091133273642653	1.28036523025863	8.712694866781066	23.177893896187296	1.4373751355498345	27.474667894042565
SRX3316625										8.77555972229948	11.027919979743537	2.214635431674118	18.007883098933373	17.27464249591971	3.9199676967099113	23.11016727667565
SRX3316626										11.155586055129659	8.784880700665239	1.0021684836009783	10.023856608855636	23.69635887208947	1.0233519606770947	25.284119577001057
SRX3316627										8.707765946670968	10.119227641161075	2.851817036954239	17.873889095391448	17.81404738586628	4.952587051325811	21.97100921727352
SRX3316628										10.838306479148569	9.715766393561184	1.7546035467970729	12.962173906313378	21.69902011731123	1.781154864764913	24.71309607874674
SRX3316629										10.774007892265944	9.496523421463257	1.395037764768026	12.974101965522783	22.09870121132954	1.7365063543381256	24.4401845418191
SRX3316630										10.95135860673404	10.460234994735615	1.308963484840706	12.405849843989339	21.34621689332625	1.4214784308911768	27.249469293874114
SRX3316631										11.285097244088341	10.373375620940745	0.992872585632246	11.65312900303267	22.27060114635265	1.2736603963377815	26.519694608488525
SRX3316632										8.94029293626856	10.685124839477144	1.9589120616705542	17.128835487071782	17.790985821232947	3.8124922052786268	23.59638108472742
SRX3316633										11.048057504131531	8.66701874562434	0.9629017407186748	9.909159779195925	23.993911360037803	0.8604984935353959	25.258201884785752
SRX3316634										11.398482267336135	9.089083926122784	1.3004782821371914	10.05204163267251	23.82707975057623	1.2306786003275683	25.78078110455771
