# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_Dfur_-O2_C_cds.txt" "Kiley_B_Dfur_-O2_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_Dfur_-O2_C.bam
ZMO1_ZMO0324	CP023715.1	325022	325546	+	525	719
ZMO1_ZMO0325	CP023715.1	325631	326143	+	513	1817
ZMO1_ZMO0326	CP023715.1	326160	326603	-	444	708
ZMO1_ZMO0327	CP023715.1	326798	328834	+	2037	1849
ZMO1_ZMO0328	CP023715.1	328990	329553	+	564	3301
ZMO1_ZMO0329	CP023715.1	329553	330368	+	816	3833
ZMO1_ZMO2048	CP023715.1	330354	330536	-	183	4
ZMO1_ZMO0331	CP023715.1	330814	331410	+	597	4988
ZMO1_ZMO0332	CP023715.1	331475	332191	-	717	1308
ZMO1_ZMO0335	CP023715.1	332580	333365	+	786	453
ZMO1_ZMO0336	CP023715.1	333462	334136	+	675	289
ZMO1_ZMO0339	CP023715.1	334277	335656	+	1380	3935
ZMO1_ZMO0341	CP023715.1	335843	336622	+	780	450
ZMO1_ZMO0342	CP023715.1	336684	337886	-	1203	5837
ZMO1_ZMO0343	CP023715.1	338009	338680	-	672	407
ZMO1_ZMO0344	CP023715.1	338983	340425	+	1443	2345
ZMO1_ZMO0345	CP023715.1	340714	341433	+	720	204
ZMO1_ZMO0346	CP023715.1	341634	342983	+	1350	1410
ZMO1_ZMO0347	CP023715.1	343378	343863	+	486	1270
ZMO1_ZMO0348	CP023715.1	343860	345242	+	1383	2297
ZMO1_ZMO0349	CP023715.1	345263	345829	+	567	1099
ZMO1_ZMO0350	CP023715.1	345969	346595	+	627	681
ZMO1_ZMO0351	CP023715.1	346818	352019	+	5202	1358
ZMO1_ZMO0352	CP023715.1	352178	353752	+	1575	980
ZMO1_ZMO0353	CP023715.1	353797	355140	+	1344	1338
ZMO1_ZMO0354	CP023715.1	355278	357119	-	1842	912
ZMO1_ZMO0355	CP023715.1	357377	358423	+	1047	2786
ZMO1_ZMO0356	CP023715.1	358454	359473	+	1020	806
ZMO1_ZMO0357	CP023715.1	359487	360038	+	552	37
ZMO1_ZMO0359	CP023715.1	360166	362097	+	1932	980
ZMO1_ZMO0360	CP023715.1	362109	363215	+	1107	353
ZMO1_ZMO0361	CP023715.1	363840	364814	+	975	746
ZMO1_ZMO0362	CP023715.1	364912	367134	+	2223	1357
ZMO1_ZMO0363	CP023715.1	367280	368467	+	1188	981
ZMO1_ZMO0364	CP023715.1	368514	370709	+	2196	1033
ZMO1_ZMO0366	CP023715.1	371082	372503	+	1422	32369
ZMO1_ZMO0367	CP023715.1	372649	374106	+	1458	33805
ZMO1_ZMO0368	CP023715.1	374099	375922	+	1824	44810
ZMO1_ZMO0369	CP023715.1	376055	377029	+	975	14087
ZMO1_ZMO0371	CP023715.1	377532	378221	-	690	78
ZMO1_ZMO0372	CP023715.1	378393	378854	+	462	77
ZMO1_ZMO0373	CP023715.1	378851	379204	-	354	61
ZMO1_ZMO0374	CP023715.1	380042	381313	+	1272	20880
ZMO1_ZMO0375	CP023715.1	381469	382710	+	1242	1482
ZMO1_ZMO0376	CP023715.1	383001	385427	-	2427	10617
ZMO1_ZMO0377	CP023715.1	385623	386243	+	621	100
ZMO1_ZMO0378	CP023715.1	386327	386833	+	507	1250
ZMO1_ZMO0379	CP023715.1	386833	388119	+	1287	677
ZMO1_ZMO0380	CP023715.1	388162	390351	+	2190	1348
ZMO1_ZMO0381	CP023715.1	390351	390650	+	300	1016
ZMO1_ZMO0383	CP023715.1	390773	391624	+	852	2047
ZMO1_ZMO0384	CP023715.1	391650	391757	+	108	197
ZMO1_ZMO0385	CP023715.1	391942	392061	+	120	596
ZMO1_ZMO0387	CP023715.1	392090	393004	+	915	1277
ZMO1_ZMO0388	CP023715.1	393158	393484	+	327	614
ZMO1_ZMO0389	CP023715.1	393494	394153	+	660	167
ZMO1_ZMO0390	CP023715.1	394147	395568	+	1422	1000
ZMO1_ZMO0391	CP023715.1	395565	395813	+	249	66
