# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_A_cds.txt" "Kiley_A_DZM0422_Aerobic_A.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_A.bam
ZMO1_ZMO0352	CP023715.1	352178	353752	+	1575	9715
ZMO1_ZMO0353	CP023715.1	353797	355140	+	1344	11767
ZMO1_ZMO0354	CP023715.1	355278	357119	-	1842	6558
ZMO1_ZMO0355	CP023715.1	357377	358423	+	1047	26317
ZMO1_ZMO0356	CP023715.1	358454	359473	+	1020	11134
ZMO1_ZMO0357	CP023715.1	359487	360038	+	552	375
ZMO1_ZMO0359	CP023715.1	360166	362097	+	1932	8430
ZMO1_ZMO0360	CP023715.1	362109	363215	+	1107	2795
ZMO1_ZMO0361	CP023715.1	363840	364814	+	975	2595
ZMO1_ZMO0362	CP023715.1	364912	367134	+	2223	13248
ZMO1_ZMO0363	CP023715.1	367280	368467	+	1188	8037
ZMO1_ZMO0364	CP023715.1	368514	370709	+	2196	9630
ZMO1_ZMO0366	CP023715.1	371082	372503	+	1422	177667
ZMO1_ZMO0367	CP023715.1	372649	374106	+	1458	167963
ZMO1_ZMO0368	CP023715.1	374099	375922	+	1824	470918
ZMO1_ZMO0369	CP023715.1	376055	377029	+	975	224534
ZMO1_ZMO0371	CP023715.1	377532	378221	-	690	513
ZMO1_ZMO0372	CP023715.1	378393	378854	+	462	723
ZMO1_ZMO0373	CP023715.1	378851	379204	-	354	171
ZMO1_ZMO0374	CP023715.1	380042	381313	+	1272	1338
ZMO1_ZMO0375	CP023715.1	381469	382710	+	1242	788
ZMO1_ZMO0376	CP023715.1	383001	385427	-	2427	124921
ZMO1_ZMO0377	CP023715.1	385623	386243	+	621	730
ZMO1_ZMO0378	CP023715.1	386327	386833	+	507	212
ZMO1_ZMO0379	CP023715.1	386833	388119	+	1287	176
ZMO1_ZMO0380	CP023715.1	388162	390351	+	2190	805
ZMO1_ZMO0381	CP023715.1	390351	390650	+	300	213
ZMO1_ZMO0383	CP023715.1	390773	391624	+	852	272
ZMO1_ZMO0384	CP023715.1	391650	391757	+	108	36
ZMO1_ZMO0385	CP023715.1	391942	392061	+	120	600
ZMO1_ZMO0387	CP023715.1	392090	393004	+	915	493
ZMO1_ZMO0388	CP023715.1	393158	393484	+	327	309
ZMO1_ZMO0389	CP023715.1	393494	394153	+	660	118
ZMO1_ZMO0390	CP023715.1	394147	395568	+	1422	695
ZMO1_ZMO0391	CP023715.1	395565	395813	+	249	46
ZMO1_ZMO0392	CP023715.1	395792	396295	+	504	127
ZMO1_ZMO0393	CP023715.1	396296	396967	+	672	257
ZMO1_ZMO0394	CP023715.1	396980	397654	+	675	378
ZMO1_ZMO0395	CP023715.1	397834	398202	+	369	79
ZMO1_ZMO0397	CP023715.1	398199	398645	+	447	75
ZMO1_ZMO0398	CP023715.1	398650	399051	+	402	119
ZMO1_ZMO0399	CP023715.1	399056	400057	+	1002	814
ZMO1_ZMO0400	CP023715.1	400062	402716	+	2655	2033
ZMO1_ZMO0401	CP023715.1	402726	404777	-	2052	2002
ZMO1_ZMO0402	CP023715.1	404997	405662	-	666	3407
ZMO1_ZMO0403	CP023715.1	405659	406762	-	1104	9317
ZMO1_ZMO0405	CP023715.1	407713	410034	+	2322	73638
ZMO1_ZMO0406	CP023715.1	410124	410945	-	822	8674
ZMO1_ZMO0407	CP023715.1	411097	411789	+	693	40922
ZMO1_ZMO0408	CP023715.1	412024	413214	+	1191	70261
ZMO1_ZMO0409	CP023715.1	413245	414186	+	942	33887
ZMO1_ZMO0410	CP023715.1	414315	415238	+	924	8765
ZMO1_ZMO0411	CP023715.1	415313	417295	+	1983	15156
ZMO1_ZMO0412	CP023715.1	417491	418117	-	627	3822
ZMO1_ZMO0413	CP023715.1	418306	418632	-	327	6567
ZMO1_ZMO0414	CP023715.1	418656	419696	-	1041	22816
ZMO1_ZMO0416	CP023715.1	419902	420603	+	702	1183
ZMO1_ZMO0417	CP023715.1	420600	421475	+	876	2423
ZMO1_ZMO0418	CP023715.1	421507	422118	+	612	2962
ZMO1_ZMO0419	CP023715.1	422167	422919	+	753	2251
ZMO1_ZMO0420	CP023715.1	422968	423849	-	882	18231
ZMO1_ZMO0421	CP023715.1	423850	424959	-	1110	31809
ZMO1_ZMO0422	CP023715.1	425526	425933	+	408	0
ZMO1_ZMO0423	CP023715.1	425933	427405	+	1473	660383
ZMO1_ZMO0425	CP023715.1	427420	428172	+	753	155171
ZMO1_ZMO0426	CP023715.1	428169	429284	+	1116	227385
ZMO1_ZMO0427	CP023715.1	429281	430504	+	1224	309167
ZMO1_ZMO0428	CP023715.1	430501	430935	+	435	39179
ZMO1_ZMO0429	CP023715.1	430974	431315	+	342	54201
ZMO1_ZMO0430	CP023715.1	431440	432108	+	669	82785
ZMO1_ZMO0431	CP023715.1	432142	432972	+	831	119879
ZMO1_ZMO0432	CP023715.1	433040	433912	-	873	4304
ZMO1_ZMO0433	CP023715.1	434260	434910	-	651	13092
ZMO1_ZMO0435	CP023715.1	435064	435507	-	444	60242
ZMO1_ZMO0436	CP023715.1	435636	436034	-	399	1066
ZMO1_ZMO0437	CP023715.1	436192	436413	+	222	1290
ZMO1_ZMO0439	CP023715.1	436668	437792	+	1125	14255
ZMO1_ZMO0440	CP023715.1	437902	438192	+	291	4460
ZMO1_ZMO0441	CP023715.1	438219	438923	+	705	19658
ZMO1_ZMO0442	CP023715.1	438961	439596	+	636	12729
ZMO1_ZMO0443	CP023715.1	439680	440717	-	1038	61739
ZMO1_ZMO0444	CP023715.1	441046	442092	+	1047	14559
ZMO1_ZMO0445	CP023715.1	442089	443654	+	1566	16680
ZMO1_ZMO0446	CP023715.1	443686	445092	+	1407	11351
ZMO1_ZMO0447	CP023715.1	445110	445421	+	312	1614
ZMO1_ZMO0448	CP023715.1	445437	446087	-	651	46311
ZMO1_ZMO0449	CP023715.1	446920	447684	+	765	16647
ZMO1_ZMO0452	CP023715.1	447707	449191	+	1485	27382
ZMO1_ZMO0453	CP023715.1	449258	450622	+	1365	22046
ZMO1_ZMO0454	CP023715.1	450686	452359	-	1674	31226
ZMO1_ZMO0456	CP023715.1	452789	453106	+	318	790
ZMO1_ZMO0457	CP023715.1	453232	453726	+	495	2430
ZMO1_ZMO0458	CP023715.1	453723	454421	-	699	3411
ZMO1_ZMO0459	CP023715.1	454414	455664	-	1251	12628
ZMO1_ZMO0460	CP023715.1	455661	456992	-	1332	52571
ZMO1_ZMO0462	CP023715.1	457482	459116	-	1635	52252
