regulator,gene_id
ZCP4_1042,ZCP4_0977
ZCP4_1042,ZCP4_0974
ZCP4_1042,ZCP4_0974
ZCP4_1387,ZCP4_0974
ZCP4_1465,ZCP4_0974
ZCP4_0018,ZCP4_0965
ZCP4_0128,ZCP4_0965
ZCP4_0210,ZCP4_0965
ZCP4_0375,ZCP4_0965
ZCP4_0375,ZCP4_0965
ZCP4_0523,ZCP4_0965
ZCP4_0530,ZCP4_0965
ZCP4_1042,ZCP4_0965
ZCP4_1382,ZCP4_0965
ZCP4_1718,ZCP4_0965
ZCP4_1718,ZCP4_0965
ZCP4_1042,ZCP4_0884
ZCP4_1387,ZCP4_0884
ZCP4_0018,ZCP4_0837
ZCP4_0812,ZCP4_0837
ZCP4_0900,ZCP4_0837
ZCP4_1042,ZCP4_0837
ZCP4_1387,ZCP4_0837
ZCP4_1042,ZCP4_0510
ZCP4_1465,ZCP4_0510
ZCP4_0095,ZCP4_0508
ZCP4_0128,ZCP4_0508
ZCP4_1042,ZCP4_0508
ZCP4_1382,ZCP4_0508
ZCP4_1718,ZCP4_0508
ZCP4_1042,ZCP4_0417
ZCP4_1042,ZCP4_1718
ZCP4_1382,ZCP4_1718
ZCP4_1718,ZCP4_1718
ZCP4_0210,ZCP4_1704
ZCP4_0900,ZCP4_1704
ZCP4_1042,ZCP4_1704
ZCP4_1387,ZCP4_1704
ZCP4_1042,ZCP4_1519
ZCP4_1465,ZCP4_1519
ZCP4_0128,ZCP4_1877
ZCP4_0265,ZCP4_1877
ZCP4_0375,ZCP4_1877
ZCP4_1042,ZCP4_1877
ZCP4_1382,ZCP4_1877
ZCP4_1387,ZCP4_1877
ZCP4_1718,ZCP4_1877
ZCP4_0018,ZCP4_0972
ZCP4_0973,ZCP4_0972
ZCP4_0900,ZCP4_1207
ZCP4_0375,ZCP4_1193
ZCP4_0900,ZCP4_1193
ZCP4_0018,ZCP4_1192
ZCP4_0523,ZCP4_1192
ZCP4_0900,ZCP4_1192
ZCP4_1718,ZCP4_1192
ZCP4_0018,ZCP4_1189
ZCP4_0128,ZCP4_1189
ZCP4_0523,ZCP4_1189
ZCP4_0900,ZCP4_1189
ZCP4_1382,ZCP4_1189
ZCP4_1718,ZCP4_1189
ZCP4_0900,ZCP4_1186
ZCP4_1387,ZCP4_1186
ZCP4_0900,ZCP4_1184
ZCP4_1387,ZCP4_1184
ZCP4_0018,ZCP4_1176
ZCP4_0128,ZCP4_1176
ZCP4_0210,ZCP4_1176
ZCP4_0523,ZCP4_1176
ZCP4_0900,ZCP4_1176
ZCP4_1382,ZCP4_1176
ZCP4_1585,ZCP4_1176
ZCP4_1718,ZCP4_1176
ZCP4_0900,ZCP4_1175
ZCP4_0128,ZCP4_1145
ZCP4_0210,ZCP4_1145
ZCP4_0375,ZCP4_1145
ZCP4_0900,ZCP4_1145
ZCP4_1387,ZCP4_1145
ZCP4_1718,ZCP4_1145
ZCP4_0375,ZCP4_1136
ZCP4_0900,ZCP4_1136
ZCP4_0900,ZCP4_1132
ZCP4_0210,ZCP4_1127
ZCP4_0523,ZCP4_1127
ZCP4_0900,ZCP4_1127
ZCP4_0018,ZCP4_1104
ZCP4_0128,ZCP4_1104
ZCP4_0523,ZCP4_1104
ZCP4_0900,ZCP4_1104
ZCP4_1387,ZCP4_1104
ZCP4_1718,ZCP4_1104
ZCP4_0900,ZCP4_1099
ZCP4_0530,ZCP4_1071
ZCP4_0900,ZCP4_1071
ZCP4_1387,ZCP4_1071
ZCP4_0900,ZCP4_1037
ZCP4_1465,ZCP4_1037
ZCP4_0018,ZCP4_0995
ZCP4_0128,ZCP4_0995
ZCP4_0900,ZCP4_0995
ZCP4_1718,ZCP4_0995
ZCP4_0530,ZCP4_0994
ZCP4_0900,ZCP4_0994
ZCP4_0375,ZCP4_0983
ZCP4_0900,ZCP4_0983
ZCP4_1718,ZCP4_0983
ZCP4_0375,ZCP4_0964
ZCP4_0900,ZCP4_0964
ZCP4_1465,ZCP4_0964
ZCP4_0128,ZCP4_0949
ZCP4_0900,ZCP4_0949
ZCP4_0900,ZCP4_0931
ZCP4_0900,ZCP4_0929
ZCP4_0900,ZCP4_0889
ZCP4_0018,ZCP4_0888
