task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
193	f1/ea1077	28942	featureCounts (10)	COMPLETED	0	2024-11-09 08:00:23.447	38s	37.8s	375.7%	100.1 MB	372.6 MB	4.5 GB	1.1 MB
194	88/cfb654	3726	featureCounts (11)	COMPLETED	0	2024-11-09 08:01:01.482	6s	5.7s	312.0%	94.1 MB	372.6 MB	542.3 MB	1.1 MB
195	54/5184da	7793	featureCounts (12)	COMPLETED	0	2024-11-09 08:01:07.462	33.2s	32.9s	373.5%	92.2 MB	372.6 MB	3.9 GB	1.1 MB
196	ed/a3e031	11402	featureCounts (13)	COMPLETED	0	2024-11-09 08:01:40.640	6s	5.7s	313.2%	100.1 MB	372.6 MB	539.2 MB	1.1 MB
197	5c/ec409b	12761	featureCounts (14)	COMPLETED	0	2024-11-09 08:01:46.631	5.3s	5s	306.6%	99.9 MB	372.6 MB	474 MB	1.1 MB
198	d6/fe8b43	14003	featureCounts (15)	COMPLETED	0	2024-11-09 08:01:51.957	5.8s	5.5s	309.5%	96.1 MB	500.5 MB	514.1 MB	1.1 MB
199	74/e022a8	15332	featureCounts (16)	COMPLETED	0	2024-11-09 08:01:57.755	5.4s	5.1s	306.4%	99.9 MB	372.6 MB	467.8 MB	1.1 MB
200	70/e1b9f6	17503	featureCounts (17)	COMPLETED	0	2024-11-09 08:02:03.151	4.8s	4.5s	300.2%	100.1 MB	372.6 MB	413.1 MB	1.1 MB
201	52/1760a6	19986	featureCounts (18)	COMPLETED	0	2024-11-09 08:02:07.965	6.4s	6.1s	330.5%	92.1 MB	372.6 MB	586.5 MB	1.1 MB
202	c1/3e78a8	24180	featureCounts (19)	COMPLETED	0	2024-11-09 08:02:14.347	6.1s	5.8s	311.8%	100.1 MB	372.6 MB	543.8 MB	1.1 MB
203	8f/20e1fb	25980	trim_galore (2)	FAILED	25	2024-11-09 08:02:20.443	1.8s	1.7s	-	-	-	-	-
204	cd/b7707f	26942	featureCounts (20)	COMPLETED	0	2024-11-09 08:02:22.290	7.7s	7.5s	327.0%	93.9 MB	372.6 MB	713.5 MB	1.1 MB
205	d7/327391	28460	featureCounts (21)	COMPLETED	0	2024-11-09 08:02:30.024	5.9s	5.7s	311.0%	105.9 MB	372.6 MB	513.9 MB	1.1 MB
206	b9/5d9db7	29981	featureCounts (22)	COMPLETED	0	2024-11-09 08:02:35.982	6.5s	6.3s	325.6%	97.9 MB	372.6 MB	618.5 MB	1.1 MB
207	9a/0c4a32	31282	featureCounts (23)	COMPLETED	0	2024-11-09 08:02:42.540	5.7s	5.4s	306.5%	93.9 MB	372.6 MB	506.7 MB	1.1 MB
208	30/28ea52	32509	featureCounts (24)	COMPLETED	0	2024-11-09 08:02:48.255	5.9s	5.6s	321.5%	105.9 MB	372.6 MB	556.2 MB	1.1 MB
209	ee/f5d271	1607	featureCounts (25)	COMPLETED	0	2024-11-09 08:02:54.174	6.5s	6.3s	314.4%	102.3 MB	500.6 MB	593.4 MB	1.1 MB
210	36/b67e35	3197	featureCounts (26)	COMPLETED	0	2024-11-09 08:03:00.715	4.9s	4.6s	296.3%	92.1 MB	372.6 MB	419.1 MB	1.1 MB
211	cc/c05a75	4346	trim_galore (31)	FAILED	255	2024-11-09 08:03:05.623	1.7s	1.6s	-	-	-	-	-
212	5d/13d418	5326	featureCounts (27)	COMPLETED	0	2024-11-09 08:03:07.370	5.9s	5.6s	321.0%	98.1 MB	372.6 MB	519.2 MB	1.1 MB
213	bd/4b71da	8263	featureCounts (28)	COMPLETED	0	2024-11-09 08:03:13.259	6s	5.7s	310.2%	92.1 MB	372.6 MB	519.5 MB	1.1 MB
214	63/4f2a71	12022	featureCounts (29)	COMPLETED	0	2024-11-09 08:03:19.257	5.5s	5.3s	309.2%	104.1 MB	372.6 MB	475.5 MB	1.1 MB
215	5f/e46e6c	15112	featureCounts (30)	COMPLETED	0	2024-11-09 08:03:24.794	4.8s	4.5s	293.8%	99.9 MB	372.6 MB	404.9 MB	1.1 MB
216	28/6a5661	16299	featureCounts (31)	COMPLETED	0	2024-11-09 08:03:29.619	5.9s	5.7s	311.6%	100.1 MB	372.6 MB	510.1 MB	1.1 MB
217	a8/8c9868	17730	featureCounts (32)	COMPLETED	0	2024-11-09 08:03:35.574	5.6s	5.4s	303.7%	100.1 MB	372.6 MB	487.4 MB	1.1 MB
218	df/044fef	18990	featureCounts (33)	COMPLETED	0	2024-11-09 08:03:41.220	4.9s	4.7s	302.7%	100 MB	372.6 MB	432.9 MB	1.1 MB
219	c7/daa23a	20474	featureCounts (34)	COMPLETED	0	2024-11-09 08:03:46.173	5.6s	5.3s	308.9%	97.9 MB	372.6 MB	500 MB	1.1 MB
220	b5/27fd7c	21716	trim_galore (3)	FAILED	25	2024-11-09 08:03:51.805	1.7s	1.6s	-	-	-	-	-
221	39/171910	22617	trim_galore (5)	FAILED	25	2024-11-09 08:03:53.477	1.3s	1.2s	-	-	-	-	-
222	b7/45d056	23513	trim_galore (31)	FAILED	255	2024-11-09 08:03:54.808	1.4s	1.3s	-	-	-	-	-
223	7f/3c3abe	24445	assemble_tpm	COMPLETED	0	2024-11-09 08:03:56.240	22s	21.3s	6.1%	41.6 MB	637.5 MB	11.2 MB	1.3 MB
224	cd/6a5c97	28665	multiqc (1)	COMPLETED	0	2024-11-09 08:04:18.262	1m 29s	1m 26s	20.3%	563.4 MB	1.2 GB	103.1 MB	9.2 MB
