Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX3316551	0.16256055157656987	0.4582124522154507
SRX3316552	0.18811705952145727	0.48569344309731455
SRX3316553	0.0	0.0
SRX3316554	0.17509315816424895	0.6198388286434653
SRX3316555	0.11530867302811029	0.2274887817672421
SRX3316556	0.4979993629725027	0.5024091027740066
SRX3316557	0.19060948010327822	0.0
SRX3316558	0.21129821295232865	0.6532663204408296
SRX3316559	0.18702323977381044	0.395726796705444
SRX3316560	0.4335262329484227	1.2312364092176338
SRX3316561	0.2089224983042924	0.7131171120546523
SRX3316625	0.16657523203779756	0.6096193284735119
SRX3316626	0.13307152308360176	0.4437658310233172
SRX3316627	0.14984360953764778	0.4986499829126747
SRX3316628	0.20880954666695523	0.0
SRX3316629	0.0	0.0
SRX3316630	0.12566018745800162	0.4514072584474052
SRX3316631	0.12363984260412271	0.5470322490574191
SRX3316632	0.14173081548482577	0.47513057523417
SRX3316633	0.15811369696683122	0.44497368078858
SRX3316634	0.158924061256013	0.6030185281358343
SRX3316735	0.1569538908564965	0.15276375541917783
SRX3316736	0.22884041800093263	0.45738045339431227
SRX3316737	0.20965629638252672	0.428542763445093
SRX3316738	0.15958810523883354	0.5710383106232675
SRX3316739	0.16614003440109262	0.8064571852757797
SRX3316740	0.12004766113577543	0.21848310331444487
SRX3316741	0.1999823928402867	0.4249143828249816
SRX3316742	0.22298315157381451	0.4746391679784826
SRX3316743	0.25604520310955986	0.4784472097359807
SRX3316744	0.21558975557938714	0.47697343342600546
SRX3316745	0.3320964910290798	0.9660632584773712
SRX3316746	0.3126134086944888	0.4132022360339252
SRX3316747	0.1183894379798299	0.0
SRX3316748	0.22256193508010694	0.8812190037389969
SRX3316749	0.14741998665519968	0.8649463758302398
SRX3316750	0.2104639896259551	0.5844877323259638
SRX3316751	0.15326256674901262	0.2566262261085549
SRX3316752	0.17007406149863125	0.38866795407762667
SRX3316753	0.2132785908891989	0.26971500797967796
SRX3316754	0.17140430433785386	0.12076021694993405
SRX3316755	0.2625542278759028	0.24795101559961247
SRX3316756	0.1623108875693014	0.1347338706248546
SRX3316757	0.18897332463504427	0.13376372668553746
SRX3316758	0.15155967169364865	0.5165600994061887
SRX3411505	1.9195253656410949	23.784981216442496
SRX3411506	2.068198929862665	20.733644603311024
SRX3411507	2.1560133358933817	21.897178255867377
SRX3411508	1.6411798060519085	22.4389797095687
SRX3411509	1.9099465016974995	20.465585032934005
SRX3411510	1.414646613471108	21.19046722652083
SRX3411511	1.9734503647332509	22.323590043038312
SRX3411512	1.8374372108065136	22.035893375181214
SRX3411513	1.866942477850084	21.484664231692026
SRX3411514	1.1378631612950612	12.072913431986837
SRX3411515	1.3899350800627457	18.759367185922613
SRX3411516	1.930828400334016	13.905063455326752
SRX3411517	0.6569020173754215	12.938410336268268
SRX3411518	7.491952295896791	4.673323747402428
SRX3411519	1.295170730971087	5.180836931200926
SRX3411520	1.99948937382294	13.4560129127055
SRX3411521	1.4406275729576434	3.6600036593175362
SRX3411522	0.8537211723444513	8.815715772973057
SRX3411523	0.8415632367741949	4.429518802482981
SRX3411524	1.3411578787242584	9.642949564258622
SRX3411525	1.868316137405965	7.814343839048148
SRX3541437	0.7077938531872984	3.9498382309422313
SRX3541438	0.23513807835143663	0.20463084478944643
SRX3541439	0.24348810595123602	1.255424515355763
SRX3541440	0.15918766913403962	0.3783655848295935
SRX3541441	1.1372062814313006	6.349735118440398
SRX3541442	0.22625458178463237	1.3506840249812224
SRX3541443	0.9747810854316256	6.54321944590697
SRX3541444	1.0178938537965643	6.801321264778575
SRX3541445	0.7553511257428792	4.012705984194438
SRX3541446	0.866930554651559	5.048416535351674
SRX3541447	1.3517002245600604	8.5187211714984
SRX3541448	0.40484256901804905	1.9570175906420433
SRX3541449	0.6818938622581863	10.776431867064126
SRX3541450	0.9215520038785988	6.017846566647781
SRX3541451	0.67088506664063	1.892204608629375
SRX3541452	1.0889997006705463	7.6998949173966
SRX3541453	1.2148915148580577	9.954235845085122
SRX5252024	0.492146677887645	1.0535946746685245
SRX5252025	0.4700137217291874	0.5150014979290984
SRX5252026	0.4293969323150304	0.23874238757026855
SRX5252027	0.6710238060528837	2.8378465257929397
SRX5252028	0.25347031184656027	0.0
SRX5252029	0.31821536535382355	0.10620911338501104
SRX5252030	0.41098669270345733	0.4492241344062746
SRX5252031	0.6161531751665975	1.695021473391897
SRX5252032	0.2766213553526386	0.0
SRX5252033	0.43892689153371783	0.7483720033215198
SRX5252034	1.6770911327140285	2.433322816510802
SRX5252035	0.6754326993298688	3.0077772490785284
SRX5252036	0.2535550120835164	0.0
SRX5252037	0.27122847495887425	0.0
SRX5252038	2.2244897444895866	2.214365877220499
SRX5252039	0.3107046114717326	0.0
SRX5252040	0.29030857965252965	1.1231457698948453
SRX5252041	0.34017041957284755	0.10226540808131712
SRX5252042	0.4071860809874997	0.1299848587808105
SRX5252043	3.2999680708779087	3.435839527139702
SRX5252044	0.28149295676128283	0.0
SRX5252045	0.36681431129667735	0.21994894661501657
SRX5252046	0.3604787790702229	0.11488460737896167
SRX5252047	3.0514282490949527	3.4786798651113595
SRX5252048	0.33690764338913903	0.22330510712810003
SRX5252049	0.3349152944678766	0.10232855264148061
SRX5252050	0.30534100839942	0.0
SRX5252051	2.6841194777459125	2.4915000383957007
SRX5252052	0.12254525055544194	0.0
SRX5252053	0.2943359679683844	0.7862175653892154
SRX5252054	0.35571313165180574	0.24120402120721196
SRX5252055	0.31365537137317734	0.255766477992576
SRX5252056	0.37037737146435473	2.0000847461282563
SRX5252057	0.5188170791474855	1.2993421227992425
SRX5252058	0.31526273910199343	1.4101263792151335
SRX5252059	0.7611293504087563	2.6595877110396025
SRX5252060	0.4137997401722561	0.3591612697493875
SRX5252061	0.3512375181601021	0.7666993062981957
SRX5329169	1.0149094578898261	6.680240502621829
SRX5329170	0.26958985326207036	0.30861691792877627
SRX5329171	0.2419800615036285	0.2145581571711478
SRX5329172	0.4742504278833869	1.434974496140848
SRX5329173	1.0373369133003394	11.053161131927947
SRX5329174	0.22280374910602826	0.528800627658264
SRX5329175	0.24156288068977105	1.2455468623474268
SRX5329176	0.8330739588129542	8.515272164163276
SRX5329177	0.2327230040118369	0.20253156320704122
SRX5329178	0.9693751047240518	6.506620237751294
SRX5329179	1.1335073846928299	6.329350471027459
SRX5329180	0.8664590852865228	5.020297137608214
SRX5329181	0.6710877513263807	1.8851647282125397
SRX5329182	0.6141830475452585	1.0361337396936254
SRX5329183	0.23581768755502985	1.060751731811572
SRX5329184	0.7054015750395046	3.9362679547102766
SRX5329185	1.0845145271834746	7.669300946215632
SRX5329186	1.2080356186345051	9.8988440450877
SRX5329187	1.341419437549184	2.2687788481836364
SRX5329188	0.46321119070644196	4.0470052619937595
SRX5329189	0.6469723828783234	7.181856032444627
SRX5329190	1.1036944887829474	7.428115918872221
SRX5329191	1.084196720795708	6.374621806073686
SRX5329192	1.284242058839855	6.528338496137044
SRX5329193	0.705886664492397	3.3088510197286563
SRX5329194	0.6808130726746542	3.8177385437598623
SRX6700162	0.11765842986681066	0.10043269451577436
SRX6700163	0.1912758662796262	0.24314573940396586
SRX6700164	0.13293663384384127	0.11017220454970211
SRX6700165	0.31878363922568265	0.8266340126734517
SRX6700166	0.13158518665515098	0.35565853031458805
SRX6700168	0.4942547598702781	0.6409253495694375
SRX6700169	0.5323647724305691	0.8219622934673527
SRX6700170	0.6196605310800815	1.2978126592545425
SRX6700171	0.2891310870295551	0.832817444682026
SRX6700172	0.26977412896028935	0.6734195428125453
SRX6700173	0.24488130428692811	0.5814469282650824
SRX6700174	0.14536579450612694	0.0
SRX6700175	0.0	0.0
SRX6700176	0.10169235716928446	0.0
SRX6700177	0.14482253038236398	0.10473757011232515
SRX6700178	0.10270423543730807	0.0
SRX6700179	0.18005037028528756	0.5004264095934656
SRX6700180	0.35510895548471366	1.2386660610383418
SRX6700181	0.699462328983257	1.2232246109192992
SRX6700182	0.3601273579337393	0.9838176321769815
SRX6700183	0.4538877615318843	1.866772968711737
SRX6700184	0.30523797189569707	0.6838842535650618
SRX6700185	0.35326953952641355	1.2705132014434466
SRX6922015	0.2249651787968018	0.24657833940257964
SRX6922016	0.21505864422959212	0.21774085949180963
SRX6922017	0.13778851072302364	0.1127114680608097
SRX6922018	0.0	0.0
SRX6922019	0.5165399423388606	1.2139085532070653
SRX6922020	0.45701349447250483	0.9711198128691829
SRX6922021	0.47403228297496425	0.9527198163604119
SRX6922023	0.0	0.0
SRX6922024	0.10801881329406998	0.0
