Sample	pe_sense	se_antisense	pe_antisense	failed	se_sense
SRX7101033	0.0175		0.533	0.4495	
SRX7101034	0.017		0.5202	0.4628	
SRX7101035	0.0903		0.4401	0.4696	
SRX7101036		0.5875		0.3934	0.0191
SRX7101037		0.6087		0.3763	0.015
SRX7101038		0.6002		0.383	0.0169
SRX7101039		0.6026		0.3767	0.0207
SRX7101040		0.6127		0.3681	0.0191
SRX7101041		0.5942		0.3886	0.0172
SRX7551986	0.0178		0.5774	0.4047	
SRX7551987	0.0165		0.5886	0.3949	
SRX7551988	0.0214		0.5758	0.4027	
SRX7551989	0.022		0.5723	0.4058	
SRX7551990	0.0205		0.56	0.4194	
SRX7551991	0.0204		0.5749	0.4047	
SRX8694706	0.0198		0.5483	0.4318	
SRX8694707	0.0176		0.5566	0.4258	
SRX8694708	0.0204		0.5562	0.4234	
SRX8694709	0.0197		0.5523	0.4281	
SRX8694710	0.0124		0.587	0.4006	
SRX8694711	0.0123		0.5759	0.4117	
SRX8694712	0.0107		0.5657	0.4235	
SRX8694713	0.0099		0.5767	0.4134	
SRX8694714	0.0117		0.5666	0.4217	
SRX8694715	0.016		0.5631	0.4209	
SRX8694716	0.0135		0.5686	0.4178	
SRX8694717	0.0151		0.574	0.411	
SRX8694718	0.0109		0.5586	0.4305	
SRX8694719	0.0128		0.5533	0.4338	
SRX8694720	0.01		0.5861	0.4038	
SRX8694721	0.0142		0.5847	0.4011	
SRX8694722	0.0116		0.5842	0.4042	
SRX8694723	0.0092		0.5562	0.4346	
SRX8694724	0.0114		0.558	0.4306	
SRX8694725	0.0103		0.5517	0.438	
SRX8694726	0.0079		0.5401	0.452	
SRX8694727	0.0088		0.5405	0.4507	
SRX8694728	0.0086		0.5411	0.4503	
SRX8694729	0.0095		0.5399	0.4507	
