Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
SRX5252053	785889.0	9343191.0	49052.0	120726.0	5078246.0	7696.0
SRX5252054	561298.0	6542861.0	65833.0	90268.0	3960448.0	5473.0
SRX5252055	735132.0	8061648.0	23610.0	105199.0	4598851.0	6653.0
SRX5252056	787437.0	9943506.0	41256.0	139895.0	4844985.0	7653.0
SRX5252057	723342.0	8711134.0	42218.0	142406.0	4442905.0	6730.0
SRX5252058	914013.0	11434487.0	40465.0	159960.0	3238816.0	8290.0
SRX5252059	743549.0	11675381.0	58214.0	185417.0	2793068.0	8234.0
SRX5252060	729012.0	8560843.0	33146.0	92168.0	1505803.0	10886.0
SRX5252061	664607.0	8324374.0	67585.0	125672.0	4112986.0	6601.0
SRX5329169	408044.0	8623407.0	1610161.0	45567010.0	1134521.0	5421.0
SRX5329170	2136572.0	44709535.0	1193916.0	10113114.0	3378143.0	31126.0
SRX5329171	2423334.0	46870377.0	1260656.0	11947024.0	4064331.0	30674.0
SRX5329172	2259161.0	46661094.0	1538792.0	13933568.0	6050844.0	29013.0
SRX5329173	317679.0	6074292.0	1066115.0	53288498.0	783197.0	3747.0
SRX5329174	2865279.0	56638517.0	144404.0	6941288.0	4616349.0	38027.0
SRX5329175	1721381.0	35145870.0	2706232.0	23754702.0	2655265.0	23380.0
SRX5329176	519386.0	10462682.0	1784472.0	53600112.0	1193810.0	5928.0
SRX5329177	2542950.0	48851758.0	1126049.0	8356878.0	4251303.0	35226.0
SRX5329178	351492.0	7488934.0	1670256.0	46606926.0	1099702.0	4502.0
SRX5329179	526786.0	10369214.0	1642401.0	49441104.0	890849.0	6872.0
SRX5329180	989219.0	18946904.0	1832785.0	49242630.0	2656112.0	12690.0
SRX5329181	1377150.0	32657847.0	2511129.0	17641692.0	9132460.0	23152.0
SRX5329182	2031901.0	42116605.0	507578.0	5538386.0	4834660.0	26118.0
SRX5329183	2042219.0	45676261.0	2083271.0	16816292.0	9542203.0	32512.0
SRX5329184	1206829.0	24092674.0	3238586.0	50635882.0	1964659.0	15144.0
