Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
SRX5252029	29.09517747812458										1.6480066384049232	2.6635258140182185	7.460335182855856	0.4246981629577228	0.5766741267141084	5.893429954871037
SRX5252030	31.637782871466243										1.2932157832655244	2.381258526130815	5.822556494172659	0.9524524193409588	0.4314023853075205	5.336381819615978
SRX5252031	24.11953396577164										4.393278970195446	5.665258102459916	15.57331054224754	2.32214363407225	1.088557854434293	8.590479693878095
SRX5252032	30.147763361980275										2.72464109041347	4.20905728398275	11.485604065986623	0.6168610627114783	0.9064092865782077	7.7571504579813375
SRX5252033	27.353739133187123										3.8463725546354604	5.488060940245067	13.861727282151175	1.6447942101024822	1.749784334456617	8.185921132304246
SRX5252034	25.222623312925386										2.6151448096199448	4.564885846772803	10.71244938865172	4.101607313695446	0.947139155423387	6.529521645135501
SRX5252035	22.9440994866755										4.540887131032678	6.3496469306352425	15.428364600872632	4.2525841632153085	2.5402307516484544	8.480476459213122
SRX5252036	33.31053279129766										0.8272859850239955	1.3497704759052118	4.95194662685553	0.25420438691728797	0.37398081859291193	5.994285114621453
SRX5252037	30.64136507210023										1.4262398566679495	2.292691805793325	7.530755970730027	0.2717763021464738	0.6974630055509862	6.268411164531286
SRX5252038	25.683677605209294										2.0741845703950164	3.359748075490127	9.715572720552764	4.312536553888279	0.4880838579613551	6.563763418122639
SRX5252039	27.761527053209463										0.6824301415906762	1.2419303695829083	3.4545939849816527	0.3117113630282136	0.21420246767605117	4.042601632286185
SRX5252040	26.01710005115367										4.3535947053256985	5.978754691102075	15.999707830561274	1.7718123620152713	1.520315963406624	9.274155621145711
SRX5252041	31.70355411263528										0.6814826124911585	1.266556777642855	4.052475123152206	0.3406169216237027	0.3273906901641658	4.879376684919812
SRX5252042	31.859417519285333										1.2779792522228546	2.2752441437260873	6.150117930057356	0.5384955100867371	0.41332357617688753	6.122577047304636
SRX5252043	27.39413700366215										1.1268239556249324	2.1862655066152277	5.838823838574233	6.593763244342873	0.7701900031645839	5.2291133893072415
SRX5252044	31.54033585494988										1.1529529167377268	1.598443296192251	5.238909714969227	0.28334327097671236	0.3667051081641237	5.6714158572211275
SRX5252045	32.642606504110184										1.534992636278662	2.6779322677534334	8.072524431267508	0.7719022253508003	0.514899967194754	6.862703210600108
SRX5252046	30.314209213570237										0.5621511138922342	1.1343127095009689	3.6514219324876724	0.3598599731476142	0.3317415888069149	4.412145969781083
SRX5252047	23.68709960071533										1.168711738164365	2.2659475312639508	4.750871582540606	5.928174517510975	0.9205016013785549	4.082549932886875
SRX5252048	31.55746538231404										0.9555444006985566	1.6835173280399716	4.9227896489720395	0.5625339983568971	0.28231790865722595	5.254123965034506
SRX5252049	33.44609964898208										1.0048704384035338	1.7996555883824004	5.654817631336668	0.6269341970634063	0.24810167429754654	5.81892797696336
SRX5252050	32.266136273125326										0.5938599250111846	1.1244623005689638	4.2436876321906105	0.30510025409209995	0.3393988893308911	5.145054128763042
SRX5252051	27.195122811661843										0.8180284950791532	1.5050258766464968	3.7851696691795715	4.933420251454246	0.9025021038543805	4.294876635370233
SRX5252052	33.852633682394654										1.1107934451784804	1.498919026600064	6.208117164823281	0.12314621185462406	0.17658156451451926	6.585562537068269
SRX5252053	30.881161830320142										2.944793500109889	4.4181811985870425	11.948538174520902	1.6589875920230184	1.0224604897295593	8.18222282914606
SRX5252054	28.011050909433155										2.076839411476317	3.369783798005605	9.169834506662701	0.6015380777644532	0.8746453956362313	6.202506989761313
SRX5252055	31.03860860686846										2.5783177583594896	3.984754405926106	11.337988889502313	1.0323521917178846	1.2131813217529168	7.797008249748287
SRX5252056	28.610527341081514										3.5486493727143795	4.9591966367394305	13.072824754158816	3.0727414726992763	1.7649226011481038	8.24394667175142
SRX5252057	26.681225979642537										3.4796865208530003	4.960795595369924	12.532895877467324	2.1614068004070734	2.038252116615204	7.696211477353172
SRX5252058	23.898831588174566										5.844316199378937	7.9754299207016395	18.977795568347585	2.6896595725607653	1.752411862923587	9.657268656333628
SRX5252059	23.76344397549249										6.047831308619789	7.6243327725169685	19.861903529363197	4.61557867592479	2.354637915002515	10.41319197176332
SRX5252060	31.463622108800383										1.02101488925599	1.9203894699825863	5.254657363686273	0.7774950401229388	0.37451781225960046	5.6316764397685475
SRX5252061	28.16318467598009										2.9940418678252496	4.312441002667784	11.863330185428087	1.3040178262634203	1.2847984353833397	7.876592800175265
