Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX3316560	22702092	26255596	4.4	26255596	1.4490946234852182	2587512757	8212260	2625559600
SRX3316561	5983684	26984266	4.4	26984266	0.7500644634914286	2678186661	8836649	2698426600
SRX3316625	21387414	25106945	4.4	25106945	1.436766241372656	2474621689	7848243	2510694500
SRX3316626	17425334	24472712	4.4	24472712	1.2656231152477093	2416297970	7594787	2447271200
SRX3316627	5154172	25442165	4.4	25442165	0.7662066887782545	2524722543	8475539	2544216500
SRX3316628	4693086	25398630	4.4	25398630	0.7522829774676824	2520756043	8539938	2539863000
SRX3316629	16403452	23542829	4.4	23542829	1.2160234439115198	2325654268	7209667	2354282900
SRX3316630	5977717	30347554	4.4	30347554	0.7475578427177361	3012068848	10196435	3034755400
SRX3316631	24779282	28245148	4.4	28245148	1.3777994011573245	2785598652	8648384	2824514800
SRX3316632	16998694	23753411	4.4	23753411	1.2522827563586554	2345595113	7435516	2375341100
SRX3316633	5032437	23800514	4.4	23800514	0.8008945100933534	2360989699	7973052	2380051400
SRX3316634	5041324	24759153	4.4	24759153	0.755836639484396	2457201425	8338605	2475915300
SRX3316735	6972386	28944636	4.4	28944636	1.0762299791919994	2863312515	9891497	2894463600
SRX3316736	5449937	31479998	4.4	31479998	0.8130093591492604	3122406267	10691261	3147999800
SRX3316737	23850814	32774790	4.4	32774790	1.2495333455988582	3236525807	9943680	3277479000
SRX3316738	18617973	29745062	4.4	29745062	1.1870799260731075	2939196434	9111897	2974506200
SRX3316739	4749344	25601885	4.4	25601885	0.8194689570709344	2539208550	8697486	2560188500
SRX3316740	6442376	20011316	4.4	20011316	2.3127843266279937	1954849742	7937035	2001131600
SRX3316741	44774259	38532596	4.4	38532596	2.643237429422092	3751408800	13384265	3853259600
SRX3316742	18896169	29438406	4.4	29438406	1.1603770598177088	2909680949	8929503	2943840600
SRX3316743	5766104	29430860	4.4	29430860	0.8107107301655474	2919226086	9958039	2943086000
SRX3316744	542804624	29759866	4.4	29759866	73.00838320306953	803266899	24933854	2975986600
SRX3316745	69723829	24501164	4.4	24501164	8.130466617830892	2250910504	9483860	2450116400
SRX3316746	267461850	29756511	4.4	29756511	26.928452935896953	2174354294	15434989	2975651100
SRX3316747	4318888	27181796	4.4	27181796	1.0233339621855746	2690363545	9655849	2718179600
SRX3316748	5639759	26691015	4.4	26691015	0.8072223555379966	2647555916	9007482	2669101500
SRX3316749	0	25086705	4.4	25086705	0.7277872482655654	2490412716	7847505	2508670500
SRX3316750	5787473	27652663	4.4	27652663	0.8102585273613612	2742860494	9320739	2765266300
SRX3316751	0	21827042	4.4	21827042	0.5204231521614335	2171344902	6757582	2182704200
SRX3316752	12848655	17747942	4.4	17747942	1.2574876568787525	1752476382	5448852	1774794200
SRX3316753	4005351	22830102	4.4	22830102	0.7936432347082812	2264891244	7760067	2283010200
SRX3316754	3129365	20338269	4.4	20338269	0.7699301253218748	2018167854	6857626	2033826900
SRX3316755	32043154	26217919	4.4	26217919	1.751799179789975	2575863371	7945948	2621791900
SRX3316756	14764297	19360018	4.4	19360018	1.3437691018675706	1909986406	6010981	1936001800
SRX3316757	3176980	20774807	4.4	20774807	0.773924542355556	2061402567	7024490	2077480700
SRX3316758	7195548	26464630	4.4	26464630	0.9672767388019405	2620864379	9026585	2646463000
SRX3411505	36675837	8664510	4.4	8664510	5.764510860971942	1224756507	3391533	1299676500
