Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX2037535	2422873	0	71.88267607402062	0	0	27694662	38527589	0	0	801995	23953	0	0	0	0	1492069	6092037
SRX2037536	10738957	0	55.024366194839935	0	0	26757377	48628233	0	0	3759916	31136	0	0	0	0	1576394	5764453
SRX2037537	11557482	0	55.226449620961425	0	0	32292748	58473337	0	0	5331787	37440	0	0	0	0	2009384	7244496
SRX2037538	2482851	0	67.5485771228469	0	0	33153430	49080871	0	0	1271375	34755	0	0	0	0	1956657	10181803
SRX2037540	1981417	0	66.09282559737409	0	0	26823881	40585163	0	0	1173519	26883	0	0	0	0	1634044	8945419
SRX2037541	6502824	0	56.25724111406322	0	0	23671118	42076571	0	0	1217704	27120	0	0	0	0	1506666	9151139
SRX2037542	7797908	0	56.07027726169357	0	0	27023480	48195731	0	0	1468312	31355	0	0	0	0	1661556	10213120
SRX2037691	6825450	0	52.13605704271196	0	0	17483394	33534170	0	0	3066643	13248	0	0	0	0	1257781	4887654
SRX2037693	5405466	0	42.332836751980594	0	0	14314367	33813862	0	0	8828815	11948	0	0	0	0	1005248	4248018
SRX2037695	4789308	0	51.25656717062073	0	0	14964078	29194460	0	0	3721143	12889	0	0	0	0	1113731	4593311
SRX2037697	5021834	0	51.41795739758459	0	0	15806384	30740980	0	0	3917113	13596	0	0	0	0	1139158	4842895
SRX2037699	7474110	0	51.90772783332152	0	0	16549935	31883374	0	0	2067439	11516	0	0	0	0	1254625	4525749
SRX2037713	9752354	0	44.59904158441542	0	0	14817772	33224418	0	0	2465787	11584	0	0	0	0	1211576	4965345
SRX2037715	9851914	0	43.06804959656168	0	0	14853116	34487552	0	0	3791205	12499	0	0	0	0	1101827	4876991
SRX2037717	4658650	0	43.44547851549601	0	0	11315215	26044632	0	0	5792106	9747	0	0	0	0	794518	3474396
SRX2116174	2317034	0	29.081636583437287	0	0	2114057	7269388	0	0	2212107	1743	0	0	0	0	118585	505862
SRX2116175	2964982	0	25.12709392449371	0	0	1959750	7799350	0	0	2267505	1744	0	0	0	0	107862	497507
SRX2116176	524232	0	54.69485761752719	0	0	3792618	6934140	0	0	2018791	2411	0	0	0	0	210598	385490
SRX21659709	1353868	0	68.45779388786075	0	0	14010097	20465306	0	0	3664125	7532	0	0	0	0	444335	985349
SRX21659710	1524268	0	74.36047291402613	0	0	16654994	22397644	0	0	2675510	8985	0	0	0	0	532676	1001211
SRX21659711	3146570	0	69.17849627963508	0	0	34710067	50174648	0	0	8748838	18286	0	0	0	0	1034020	2516867
SRX22720559	2189128	0	82.73314594818667	0	0	30017058	36281780	0	0	413734	22603	0	0	0	0	1533992	2105265
SRX22720560	1940142	0	83.3685474820669	0	0	30199486	36224076	0	0	442224	23367	0	0	0	0	1511623	2107234
SRX22720561	1887646	0	84.3209372445415	0	0	30521793	36197170	0	0	212298	20168	0	0	0	0	1627579	1927686
SRX22720562	1865774	0	83.23214496514585	0	0	30021853	36070022	0	0	346665	20808	0	0	0	0	1594097	2220825
SRX22720563	2114412	0	83.08405994534549	0	0	29977116	36080466	0	0	294621	20359	0	0	0	0	1590127	2083831
SRX22720564	1773506	0	84.10579155600844	0	0	30522345	36290420	0	0	349680	20152	0	0	0	0	1579687	2045050
SRX22720565	2066092	0	83.41058214447035	0	0	30114293	36103684	0	0	467744	22222	0	0	0	0	1514187	1919146
SRX22720566	2442432	0	82.43169504343784	0	0	29862667	36227166	0	0	383423	22877	0	0	0	0	1528685	1987082
SRX22720567	1805610	0	85.05633729828868	0	0	30660098	36046812	0	0	352211	21276	0	0	0	0	1601064	1606553
SRX22720568	1999978	0	84.08157879417072	0	0	30330832	36073100	0	0	365155	20606	0	0	0	0	1595706	1760823
SRX22720569	1871568	0	83.3013633587772	0	0	30137382	36178738	0	0	683673	22872	0	0	0	0	1536168	1927075
SRX22720570	2070598	0	83.53192090158488	0	0	30268266	36235568	0	0	343079	22264	0	0	0	0	1513661	2017700
SRX22720571	1917162	0	83.49624911807373	0	0	30281755	36267204	0	0	153964	21430	0	0	0	0	1660225	2232668
SRX22720572	1440508	0	83.88153369742494	0	0	30306175	36129734	0	0	112133	20807	0	0	0	0	1875042	2375069
SRX22720574	2098450	0	83.08916996659514	0	0	30047038	36162400	0	0	291442	25577	0	0	0	0	1539652	2160241
SRX22720575	2014826	0	83.33030502427839	0	0	30021164	36026706	0	0	338852	24895	0	0	0	0	1528454	2098515
SRX22720576	1811432	0	84.0383200489817	0	0	30328233	36088576	0	0	261377	22501	0	0	0	0	1607889	2057144
SRX22720577	1964584	0	83.26386866637904	0	0	30114100	36167068	0	0	592674	24098	0	0	0	0	1506266	1965346
SRX22720578	1840182	0	84.26476598829576	0	0	30393177	36068666	0	0	312805	24944	0	0	0	0	1554580	1942978
SRX22720579	2012926	0	83.65193113163288	0	0	30272441	36188574	0	0	222103	23496	0	0	0	0	1589034	2068574
