Sample	Not aligned	Aligned
SRX7101033	1205222.0	36591992.0
SRX7101034	2382555.0	37730987.0
SRX7101035	5038306.0	29105249.0
SRX7101036	9838433.0	69311253.0
SRX7101037	11170552.0	60115678.0
SRX7101038	8029365.0	71781137.0
SRX7101039	9518792.0	71394936.0
SRX7101040	8498145.0	74481594.0
SRX7101041	9444515.0	60174130.0
SRX7551986	489662.0	6262884.0
SRX7551987	469301.0	5948210.0
SRX7551988	253943.0	4007058.0
SRX7551989	354732.0	5437257.0
SRX7551990	362982.0	5664993.0
SRX7551991	290461.0	4978405.0
SRX8694706	153250.0	3676695.0
SRX8694707	193242.0	4197521.0
SRX8694708	176692.0	4200735.0
SRX8694709	135838.0	4107005.0
SRX8694710	181770.0	5133554.0
SRX8694711	122047.0	4045757.0
SRX8694712	242361.0	4713961.0
SRX8694713	159815.0	3708688.0
SRX8694714	159725.0	4021708.0
SRX8694715	174868.0	4257324.0
SRX8694716	161357.0	3967777.0
SRX8694717	205857.0	4750416.0
SRX8694718	179316.0	4077911.0
SRX8694719	178863.0	3966901.0
SRX8694720	144081.0	3604379.0
SRX8694721	162652.0	4011932.0
SRX8694722	199789.0	4498516.0
SRX8694723	142270.0	4161959.0
SRX8694724	177615.0	4039680.0
SRX8694725	169168.0	4216526.0
SRX8694726	188604.0	5031564.0
SRX8694727	185069.0	5218005.0
SRX8694728	165994.0	5075592.0
SRX8694729	348111.0	12195148.0
