Sample	Antisense	Sense	Undetermined
SRX8694714	56.66	1.17	42.17
SRX8694715	56.31	1.6	42.089999999999996
SRX8694716	56.86	1.35	41.78
SRX8694717	57.4	1.51	41.099999999999994
SRX8694718	55.86	1.09	43.05
SRX8694719	55.33	1.28	43.38
SRX8694720	58.60999999999999	1.0	40.38
SRX8694721	58.47	1.4200000000000002	40.11
SRX8694722	58.42	1.16	40.42
SRX8694723	55.620000000000005	0.9199999999999999	43.46
SRX8694724	55.800000000000004	1.1400000000000001	43.059999999999995
SRX8694725	55.169999999999995	1.03	43.8
SRX8694726	54.010000000000005	0.79	45.2
SRX8694727	54.05	0.88	45.07
SRX8694728	54.11	0.86	45.03
SRX8694729	53.99	0.95	45.07
